Time;Id;Title;Subtitle;InService;NumbeOfLocks;ActualLocks;ActualBikes;UpdatedAt;RefreshRate;
2018-08-19 00:03:41;177;Tøyenparken;ved Caltexløkka;True;29;28;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;166;Bjølsen Studentby;ved rundkjøringen;True;21;21;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;178;Colosseum Kino;langs Fridtjof Nansens vei;True;12;10;1;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;167;Pilestredet Park Studenthus;ved Stensberggata;True;18;15;1;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;173;Legevakten;ved Storgata;True;10;1;6;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;158;Bentsebrugata;rett over busstoppet;True;24;22;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;157;Nylandsveien;mellom Norbygata og Urtegata;True;30;0;26;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;175;Grønlands torg;ved Tøyenbekken;True;15;0;6;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;176;Stensgata;ved trikkestoppet;True;9;6;1;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;159;Hans Nielsen Hauges plass;Mellom Åsengata og Nordkappgata;True;21;20;1;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;162;Arkitekt Rivertz Plass;i Uelands gate;True;30;29;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;194;Oslo Hospital;ved trikkestoppet;True;15;3;2;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;164;Vår Frelsers gravlund sør;langs Ullevålsveien;True;18;15;2;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;170;Slemdalsveien;ved Majorstuen T-bane;True;18;14;1;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;199;Studenterlunden;langs Karl Johan;True;15;7;3;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;165;;;;;0;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;430;;;;;24;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;195;Saga Kino;i Olav Vs gate;True;15;6;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;161;St. Hanshaugen park vest;ved busstoppet Colletts gate;True;20;19;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;160;Sjøsiden vest;nærmest fontenen;True;50;2;46;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;174;Frogner Tennisklubb;ved inngangen til tennisbanen;True;15;13;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;181;Kirkeristen;ved Torggata;True;24;12;6;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;183;Storo Storsenter;langs Vitaminveien;True;42;37;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;189;Majorstuen;utenfor banken i Majorstukrysset;True;18;17;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;186;;;;;-1;-1;2018-08-19 00:03:32;10.0;
